iter	RMSE
0	8.730806465
1	8.235301313
2	7.759788215
3	7.359816479
4	7.002616383
5	6.705519498
6	6.419107017
7	6.117356518
8	5.884139953
9	5.614885768
10	5.387802196
11	5.201801929
12	4.983829614
13	4.783560845
14	4.599026833
15	4.429378361
16	4.280906172
17	4.157027466
18	4.035586147
19	3.913145673
20	3.811909245
21	3.717666928
22	3.629353286
23	3.532808164
24	3.461483699
25	3.402166142
26	3.341775455
27	3.276726914
28	3.231751416
29	3.169343617
30	3.112001473
31	3.067064262
32	3.034977225
33	2.988618043
34	2.957588221
35	2.914154979
36	2.885641914
37	2.844709002
38	2.807881139
39	2.777552607
40	2.757549886
41	2.724920076
42	2.704689831
43	2.679874991
44	2.672413336
45	2.64847269
46	2.613776689
47	2.58168495
48	2.574893703
49	2.552176642
50	2.520108987
51	2.495336644
52	2.473778379
53	2.450094647
54	2.44069374
55	2.420093787
56	2.40304427
57	2.388899025
58	2.375795465
59	2.361468295
60	2.344800721
61	2.327554708
62	2.312912987
63	2.298987819
64	2.28467504
65	2.26365957
66	2.251287731
67	2.2356289
68	2.220515812
69	2.21196094
70	2.196805228
71	2.188337817
72	2.182037424
73	2.172549606
74	2.160708847
75	2.143175614
76	2.129869134
77	2.112755372
78	2.094814561
79	2.084122156
80	2.079476004
81	2.076738738
82	2.067865611
83	2.064873502
84	2.050006716
85	2.028452481
86	2.016196982
87	2.001905125
88	1.997715531
89	1.990116076
90	1.980427834
91	1.971628863
92	1.968240058
93	1.964997063
94	1.956404422
95	1.943074195
96	1.932835017
97	1.915232745
98	1.895516687
99	1.874011349
