iter	Passed	Remaining
0	1	156
1	2	143
2	4	137
3	5	135
4	7	134
5	8	133
6	9	128
7	10	122
8	11	118
9	12	114
10	13	111
11	14	108
12	15	106
13	17	104
14	19	111
15	20	108
16	21	106
17	22	104
18	24	102
19	25	101
20	26	99
21	27	97
22	28	96
23	29	94
24	30	92
25	32	91
26	33	90
27	34	88
28	35	87
29	36	85
30	37	84
31	39	83
32	40	81
33	41	80
34	42	79
35	43	78
36	45	76
37	46	75
38	47	74
39	48	73
40	50	72
41	51	70
42	52	69
43	53	68
44	54	67
45	56	65
46	57	64
47	58	63
48	59	62
49	61	61
50	62	59
51	63	58
52	64	57
53	65	56
54	67	54
55	68	53
56	69	52
57	70	51
58	71	49
59	72	48
60	74	47
61	75	46
62	76	44
63	77	43
64	78	42
65	79	41
66	81	39
67	82	38
68	83	37
69	84	36
70	86	35
71	87	34
72	88	32
73	89	31
74	91	30
75	92	29
76	93	27
77	94	26
78	95	25
79	97	24
80	98	23
81	99	21
82	100	20
83	101	19
84	102	18
85	103	16
86	105	15
87	106	14
88	107	13
89	108	12
90	109	10
91	110	9
92	112	8
93	113	7
94	114	6
95	115	4
96	116	3
97	117	2
98	118	1
99	120	0
